state,year,n_new_dx,n_idu_dx,idu_pct
"Washington, D.C.",2017,310,13.02,4.2
Florida,2017,4268,183.52399999999997,4.3
Georgia,2017,2568,102.72,4.0
Hawaii,2017,74,3.9960000000000004,5.4
Idaho,2017,45,1.9800000000000002,4.4
Illinois,2017,1398,57.31799999999999,4.1
Indiana,2017,513,49.248000000000005,9.6
Iowa,2017,124,8.06,6.5
Kansas,2017,115,8.05,7.0
Kentucky,2017,366,53.07,14.5
Louisiana,2017,975,50.7,5.2
Maine,2017,29,2.9870000000000005,10.3
Maryland,2017,1007,57.39900000000001,5.7
Massachusetts,2017,599,143.76,24.0
Michigan,2017,773,51.017999999999994,6.6
Minnesota,2017,277,14.126999999999999,5.1
Mississippi,2017,427,8.113,1.9
Missouri,2017,501,25.05,5.0
Montana,2017,30,6.99,23.3
Nebraska,2017,86,3.01,3.5
Nevada,2017,496,34.224000000000004,6.9
New Hampshire,2017,32,6.016,18.8
New Jersey,2017,1083,106.13400000000001,9.8
New Mexico,2017,145,16.965,11.7
New York,2017,2753,167.933,6.1
North Carolina,2017,1292,62.01599999999999,4.8
North Dakota,2017,39,1.014,2.6
Ohio,2017,982,109.002,11.1
Oklahoma,2017,302,26.878,8.9
Oregon,2017,203,32.074,15.8
Pennsylvania,2017,1110,112.11,10.1
Rhode Island,2017,83,5.976,7.2
South Carolina,2017,698,36.994,5.3
South Dakota,2017,40,5.0,12.5
Tennessee,2017,721,38.212999999999994,5.3
Texas,2017,4361,218.05,5.0
Utah,2017,115,2.99,2.6
Vermont,2017,20,3.0,15.0
Virginia,2017,860,35.26,4.1
Washington,2017,434,26.908,6.2
West Virginia,2017,78,7.02,9.0
Wisconsin,2017,258,21.93,8.5
Wyoming,2017,10,0.0,0.0
Puerto Rico,2017,445,39.160000000000004,8.8
Alabama,2018,602,22.274,3.7
Alaska,2018,23,2.001,8.7
Arizona,2018,751,59.32900000000001,7.9
Arkansas,2018,278,13.066,4.7
California,2018,4828,313.82,6.5
Colorado,2018,397,23.026,5.8
Connecticut,2018,258,20.897999999999996,8.1
Delaware,2018,92,3.0359999999999996,3.3
"Washington, D.C.",2018,273,16.926000000000002,6.2
Florida,2018,4169,204.28100000000003,4.9
Georgia,2018,2491,79.712,3.2
Hawaii,2018,74,3.9960000000000004,5.4
Idaho,2018,38,3.002,7.9
Illinois,2018,1382,66.336,4.8
Indiana,2018,514,53.97,10.5
Iowa,2018,115,8.97,7.8
Kansas,2018,155,6.045,3.9
Kentucky,2018,376,57.152,15.2
Louisiana,2018,950,58.9,6.2
Maine,2018,31,6.013999999999999,19.4
Maryland,2018,981,53.955,5.5
Massachusetts,2018,640,129.28,20.2
Michigan,2018,718,58.158,8.1
Minnesota,2018,281,14.892999999999999,5.3
Mississippi,2018,476,20.944000000000003,4.4
Missouri,2018,449,26.041999999999998,5.8
Montana,2018,24,1.9920000000000002,8.3
Nebraska,2018,77,2.0020000000000002,2.6
Nevada,2018,496,22.816,4.6
New Hampshire,2018,38,6.991999999999999,18.4
New Jersey,2018,991,102.07300000000001,10.3
New Mexico,2018,150,15.0,10.0
New York,2018,2466,182.484,7.4
North Carolina,2018,1179,63.666000000000004,5.4
North Dakota,2018,36,0.0,0.0
Ohio,2018,972,131.22,13.5
Oklahoma,2018,277,39.888000000000005,14.4
Oregon,2018,227,32.007,14.1
Pennsylvania,2018,1025,133.25,13.0
Rhode Island,2018,75,3.0,4.0
South Carolina,2018,725,31.175,4.3
South Dakota,2018,28,4.0040000000000004,14.3
Tennessee,2018,740,34.03999999999999,4.6
Texas,2018,4430,234.79,5.3
Utah,2018,120,6.96,5.8
Vermont,2018,18,1.008,5.6
Virginia,2018,860,30.96,3.6
Washington,2018,495,56.925,11.5
West Virginia,2018,92,32.016,34.8
Wisconsin,2018,205,7.995,3.9
Wyoming,2018,12,0.0,0.0
Puerto Rico,2018,436,24.852000000000004,5.7
Alabama,2019,639,33.867,5.3
Alaska,2019,27,2.997,11.1
Arizona,2019,736,60.352,8.2
Arkansas,2019,289,17.051000000000002,5.9
California,2019,4601,294.464,6.4
Colorado,2019,460,34.04,7.4
Connecticut,2019,205,20.090000000000003,9.8
Delaware,2019,93,9.020999999999999,9.7
"Washington, D.C.",2019,258,10.062,3.9
Florida,2019,3985,207.22,5.2
Georgia,2019,2411,89.20700000000001,3.7
Hawaii,2019,64,1.024,1.6
Idaho,2019,35,3.99,11.4
Illinois,2019,1300,65.0,5.0
Indiana,2019,481,40.885,8.5
Iowa,2019,99,8.019,8.1
Kansas,2019,129,6.063000000000001,4.7
Kentucky,2019,327,51.993,15.9
Louisiana,2019,874,53.31399999999999,6.1
Maine,2019,30,3.99,13.3
Maryland,2019,916,52.211999999999996,5.7
Massachusetts,2019,531,92.925,17.5
Michigan,2019,677,39.943000000000005,5.9
Minnesota,2019,268,27.067999999999998,10.1
Mississippi,2019,468,22.932000000000002,4.9
Missouri,2019,488,22.936,4.7
Montana,2019,24,4.007999999999999,16.7
Nebraska,2019,80,6.0,7.5
Nevada,2019,515,38.11,7.4
New Hampshire,2019,31,2.015,6.5
New Jersey,2019,1051,116.661,11.1
New Mexico,2019,175,18.025000000000002,10.3
New York,2019,2380,180.88,7.6
North Carolina,2019,1354,77.178,5.7
North Dakota,2019,39,1.9889999999999999,5.1
Ohio,2019,966,126.546,13.1
Oklahoma,2019,345,36.91499999999999,10.7
Oregon,2019,198,26.927999999999997,13.6
Pennsylvania,2019,999,123.876,12.4
Rhode Island,2019,72,5.976,8.3
South Carolina,2019,720,36.0,5.0
South Dakota,2019,35,3.01,8.6
Tennessee,2019,766,69.70599999999999,9.1
Texas,2019,4379,218.95,5.0
Utah,2019,137,6.986999999999999,5.1
Vermont,2019,11,1.001,9.1
Virginia,2019,829,32.330999999999996,3.9
Washington,2019,478,52.102,10.9
West Virginia,2019,152,82.992,54.6
Wisconsin,2019,209,16.093,7.7
Wyoming,2019,13,0.0,0.0
Puerto Rico,2019,389,22.951000000000004,5.9
Alabama,2020,593,27.871,4.7
Alaska,2020,29,2.9870000000000005,10.3
Arizona,2020,648,53.135999999999996,8.2
Arkansas,2020,244,10.003999999999998,4.1
California,2020,4138,281.38399999999996,6.8
Colorado,2020,324,16.848,5.2
Connecticut,2020,176,14.08,8.0
Delaware,2020,92,3.9559999999999995,4.3
"Washington, D.C.",2020,197,7.0920000000000005,3.6
Florida,2020,3172,164.94400000000002,5.2
Georgia,2020,1972,67.048,3.4
Hawaii,2020,53,8.003,15.1
Idaho,2020,36,1.008,2.8
Illinois,2020,1096,54.8,5.0
Indiana,2020,425,31.025,7.3
Iowa,2020,100,14.0,14.0
Kansas,2020,141,9.024000000000001,6.4
Kentucky,2020,301,52.976000000000006,17.6
Louisiana,2020,712,46.992,6.6
Maine,2020,15,1.995,13.3
Maryland,2020,707,21.917,3.1
Massachusetts,2020,427,98.21,23.0
Michigan,2020,519,30.101999999999997,5.8
Minnesota,2020,224,17.023999999999997,7.6
Mississippi,2020,419,20.95,5.0
Missouri,2020,368,23.184,6.3
Montana,2020,14,0.0,0.0
Nebraska,2020,72,6.984,9.7
Nevada,2020,397,25.011,6.3
New Hampshire,2020,32,3.008,9.4
New Jersey,2020,750,53.25,7.1
New Mexico,2020,133,13.965,10.5
New York,2020,2006,162.486,8.1
North Carolina,2020,1076,58.104000000000006,5.4
North Dakota,2020,35,1.995,5.7
Ohio,2020,880,83.6,9.5
Oklahoma,2020,340,32.98,9.7
Oregon,2020,180,18.0,10.0
Pennsylvania,2020,790,71.89,9.1
Rhode Island,2020,53,3.0210000000000004,5.7
South Carolina,2020,654,37.278,5.7
South Dakota,2020,38,3.002,7.9
Tennessee,2020,649,38.291000000000004,5.9
Texas,2020,3626,199.43,5.5
Utah,2020,132,8.976,6.8
Vermont,2020,13,1.0010000000000001,7.7
Virginia,2020,620,27.28,4.4
Washington,2020,417,20.85,5.0
West Virginia,2020,139,97.02199999999999,69.8
Wisconsin,2020,215,12.9,6.0
Wyoming,2020,14,2.0020000000000002,14.3
Puerto Rico,2020,306,21.114,6.9
Alabama,2021,655,30.129999999999995,4.6
Alaska,2021,30,2.01,6.7
Arizona,2021,773,38.65,5.0
